earnings_date,buy_date,sell_date,buy_price,sell_price,return
2024-02-01,2024-01-25 00:00:00,2024-02-08 00:00:00,112.867924,113.019355,0.001341663646
2024-04-25,2024-04-18 00:00:00,2024-05-02 00:00:00,116.721502,136.382566,0.168444233809
2024-08-01,2024-07-25 00:00:00,2024-08-08 00:00:00,127.517932,135.034379,0.058944241715
2024-10-24,2024-10-17 00:00:00,2024-10-31 00:00:00,142.451214,143.101928,0.004567977704
2025-02-03,2025-01-27 00:00:00,2025-02-10 00:00:00,135.310288,144.036014,0.064486787498
