Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Daily_Return,Cumulative_Return
2023-11-13 05:00:00+00:00,48.2915356693,49.0870682004,48.0706651835,48.5913581848,384136000,0.0,0.0,,
2023-11-14 05:00:00+00:00,49.6507350675,49.804643679,49.0111126854,49.6267471313,416954000,0.0,0.0,0.021308088211123177,0.021308088211123177
2023-11-15 05:00:00+00:00,49.9055874948,49.9305704812,48.1716088749,48.8592033386,475497000,0.0,0.0,-0.015466332916587833,0.005512197308445987
2023-11-16 05:00:00+00:00,48.6503283648,49.4958307321,48.3015349058,49.4508552551,339756000,0.0,0.0,0.012109323854500698,0.017688270145304497
2023-11-17 05:00:00+00:00,49.4948314999,49.6877186271,48.9781376909,49.2689666748,325205000,0.0,0.0,-0.0036781685445419487,0.013945041161906646
2023-11-20 05:00:00+00:00,49.2829565947,50.518228679,49.1520332323,50.3793106079,414120000,0.0,0.0,0.022536375492281602,0.03679568733806837
2023-11-21 05:00:00+00:00,50.0964694722,50.4872379693,49.1930027032,49.9145774841,565747000,0.0,0.0,-0.009224682080646196,0.02723157673978971
2023-11-22 05:00:00+00:00,49.8226340188,50.3053473852,47.6619050631,48.6873016357,899420000,0.0,0.0,-0.024587523530394284,0.0019744961755361334
2023-11-24 05:00:00+00:00,48.4414436787,48.8921781721,47.7168685465,47.7478523254,294645000,0.0,0.0,-0.019295571509166498,-0.01735917436578005
2023-11-27 05:00:00+00:00,47.7718401266,48.5014096241,47.6239285033,48.2135810852,395662000,0.0,0.0,0.009753920587382225,-0.0077745737866241615
2023-11-28 05:00:00+00:00,48.2075840431,48.2945345905,47.4450330414,47.7928276062,401491000,0.0,0.0,-0.008726866362746777,-0.016433592482907766
2023-11-29 05:00:00+00:00,48.3505100331,48.7332838954,47.8318146784,48.1116485596,382005000,0.0,0.0,0.00667089539097776,-0.009872323868281407
2023-11-30 05:00:00+00:00,47.9957098528,48.0816615432,46.3946561296,46.7424507141,526247000,0.0,0.0,-0.02845875970772138,-0.03805012948327857
2023-12-01 05:00:00+00:00,46.4975969626,47.1721986057,46.1597948038,46.7374534607,369317000,0.0,0.0,-0.0001069103849639097,-0.03815297191425149
2023-12-04 05:00:00+00:00,46.0498598167,46.0498598167,44.9834869492,45.4831924438,437543000,0.0,0.0,-0.026836314861584665,-0.06396540160864006
2023-12-05 05:00:00+00:00,45.4432125933,46.5766431176,45.2483106299,46.5426635742,371718000,0.004,0.0,0.023293684402410975,-0.042161707083974265
2023-12-06 05:00:00+00:00,47.1913379064,47.3632525915,45.3892400938,45.4801940918,380590000,0.0,0.0,-0.022827861596407595,-0.06402710706640058
2023-12-07 05:00:00+00:00,45.6770999963,46.6056353183,45.5811474319,46.5726509094,350823000,0.0,0.0,0.024020495941484254,-0.04154457399034983
2023-12-08 05:00:00+00:00,46.5716464988,47.7170719999,46.5266670714,47.4821891785,359224000,0.0,0.0,0.01952945025331232,-0.022826466428077063
2023-12-11 05:00:00+00:00,47.4671992672,47.507176322,45.80703244,46.6036300659,509728000,0.0,0.0,-0.018502919258782113,-0.0409070294215772
2023-12-12 05:00:00+00:00,46.022921299,47.6421082213,46.022921299,47.6331138611,372387000,0.0,0.0,0.02209020614369006,-0.01972046799053573
2023-12-13 05:00:00+00:00,47.6051341847,48.5696507648,47.5841447996,48.0639038086,447792000,0.0,0.0,0.00904391740494237,-0.010854900869286532
2023-12-14 05:00:00+00:00,48.3657522037,48.6456106817,47.3982387423,48.3257713318,391232000,0.0,0.0,0.005448319891842468,-0.005465721949774127
2023-12-15 05:00:00+00:00,48.1698472518,49.3792399309,48.0958830262,48.8654975891,479948000,0.0,0.0,0.011168497520594123,0.005641731668775796
2023-12-18 05:00:00+00:00,49.3752439211,50.4077233493,49.1253692126,50.051902771,412587000,0.0,0.0,0.024278995209999543,0.03005770245493755
2023-12-19 05:00:00+00:00,49.3992258154,49.6750884455,48.8704916498,49.5791358948,464444000,0.0,0.0,-0.009445532537754486,0.020328258910634833
2023-12-20 05:00:00+00:00,49.6301083057,49.9739376385,48.0738895734,48.0868835449,397894000,0.0,0.0,-0.03009839366838407,-0.010381982697034386
2023-12-21 05:00:00+00:00,48.7865353381,49.0703933856,48.3947297152,48.9654464722,300425000,0.0,0.0,0.01827032368358128,0.00769865880219478
2023-12-22 05:00:00+00:00,49.1703454922,49.358251001,48.4427096908,48.8055305481,252507000,0.0,0.0,-0.003265893310924639,0.004407622492984986
2023-12-26 05:00:00+00:00,48.9434542231,49.5751374146,48.9354588125,49.2542991638,244200000,0.0,0.0,0.009195036108821997,0.01364318684978394
2023-12-27 05:00:00+00:00,49.4861932858,49.6551073245,49.0604042389,49.3922386169,233648000,0.0,0.0,0.0028005566101199086,0.016481951977019182
2023-12-28 05:00:00+00:00,49.6181224946,49.8589990309,49.3872354562,49.4971809387,246587000,0.0,0.0,0.0021246723116552513,0.018641643035681943
2023-12-29 05:00:00+00:00,49.7880354673,49.9719451756,48.7265674242,49.4971809387,389293000,0.0,0.0,0.0,0.018641643035681943
2024-01-02 05:00:00+00:00,49.2193169392,49.2702900649,47.5711452052,48.1438560486,411254000,0.0,0.0,-0.027341453885546096,-0.009209500473275067
2024-01-03 05:00:00+00:00,47.4611970456,48.1598441455,47.2962788427,47.5451545715,320896000,0.0,0.0,-0.012435677700922576,-0.021530651794525513
2024-01-04 05:00:00+00:00,47.7430585833,48.4756929289,47.4841895166,47.9739456177,306535000,0.0,0.0,0.009018606629097592,-0.012706221644430804
2024-01-05 05:00:00+00:00,48.4377152305,49.5221705713,48.2817913657,49.0723953247,415039000,0.0,0.0,0.022896797268947777,0.009899643843470196
2024-01-08 05:00:00+00:00,49.4871868602,52.2488026017,49.4542024534,52.2268104553,642510000,0.0,0.0,0.06428084689422664,0.07481684822790635
2024-01-09 05:00:00+00:00,52.3747409141,54.2977765137,51.6640948736,53.113368988,773100000,0.0,0.0,0.016975161319850995,0.09306203761586884
2024-01-10 05:00:00+00:00,53.5891320258,54.5726362507,53.4621929559,54.3227615356,533796000,0.0,0.0,0.022770021383377914,0.11795108358574091
2024-01-11 05:00:00+00:00,54.971438397,55.3182646237,53.5331603598,54.7945251465,596759000,0.0,0.0,0.008684455605056707,0.12765988013976637
2024-01-12 05:00:00+00:00,54.592623995,54.9424508666,54.3027722375,54.6825790405,352994000,0.0,0.0,-0.0020430162630425963,0.12535605266546024
2024-01-16 05:00:00+00:00,54.9904296524,56.8065166043,54.8724887569,56.3537445068,449580000,0.0,0.0,0.030561204237683492,0.1597482888310826
2024-01-17 05:00:00+00:00,56.3187613515,56.4426997569,54.7125682686,56.0249099731,474394000,0.0,0.0,-0.005835185160771639,0.15298094282586527
2024-01-18 05:00:00+00:00,57.2313076152,57.5711374072,56.0788854596,57.0783843994,491650000,0.0,0.0,0.018803679056437872,0.1746612264329519
