Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Daily_Return,Cumulative_Return
2023-11-13 05:00:00+00:00,176.3317389112,176.479687023,175.296056976,176.0358276367,5862500,0.0,0.0,0.0,,
2023-11-14 05:00:00+00:00,178.7286045633,180.0108768331,178.1762448288,179.557144165,8254200,0.0,0.0,0.0,0.020003408258273847,0.020003408258273847
2023-11-15 05:00:00+00:00,180.3561336039,180.6323135085,179.0935925968,179.7840423584,6573900,0.0,0.0,0.0,0.0012636545009396816,0.02129234015609316
2023-11-16 05:00:00+00:00,179.4289272561,180.8788790827,179.1034263306,180.6815948486,5776800,0.0,0.0,0.0,0.004992392419404634,0.026391032293084482
2023-11-17 05:00:00+00:00,180.2771883308,180.9972275832,179.5275444042,180.3067779541,6638900,0.0,0.0,0.0,-0.0020744608481793048,0.02426182428167012
2023-11-20 05:00:00+00:00,180.5336171753,183.3940574933,180.513885745,182.9206085205,5558100,0.0,0.0,0.0,0.014496574094765347,0.03911011170980894
2023-11-21 05:00:00+00:00,182.0920876261,182.3781256669,180.7802258139,181.4410858154,6675400,0.0,0.0,0.0,-0.008088332512485641,0.03070544360921401
2023-11-22 05:00:00+00:00,182.5852828293,183.8083758709,181.7567432128,182.2499237061,5606700,0.0,0.0,0.0,0.004457854113168791,0.0353001781104727
2023-11-24 05:00:00+00:00,181.9441422232,182.1019485322,181.204371532,181.894821167,2096900,0.0,0.0,0.0,-0.0019484372441912479,0.03328296068452441
2023-11-27 05:00:00+00:00,181.6383737371,182.9403774929,181.3128878488,181.8849639893,4210000,0.0,0.0,0.0,-5.419163468634025e-05,0.033226965391791374
2023-11-28 05:00:00+00:00,181.2734227212,182.7135163983,181.2734227212,182.2301940918,5506200,0.0,0.0,0.0,0.0018980683995424297,0.03518810084435664
2023-11-29 05:00:00+00:00,183.5617895746,184.3508663403,182.2597858199,182.3682861328,5382700,0.0,0.0,0.0,0.0007577890244161445,0.03597255502538266
2023-11-30 05:00:00+00:00,183.1277782551,183.3743684935,181.1057352901,182.6345977783,6872000,0.0,0.0,0.0,0.0014602958175857772,0.03748538141461988
2023-12-01 05:00:00+00:00,182.161139982,183.3743748334,181.283279305,183.0488739014,6996100,0.0,0.0,0.0,0.002268333208162998,0.039838743958266365
2023-12-04 05:00:00+00:00,181.224083419,181.224083419,178.8469650954,180.8196868896,9110900,0.0,0.0,0.0,-0.012178097380706854,0.02717548647411072
2023-12-05 05:00:00+00:00,179.8530307464,182.1118054832,179.8530307464,181.9046630859,5420700,0.0,0.0,0.0,0.006000321176103052,0.03333886929717522
2023-12-06 05:00:00+00:00,183.0390426062,183.3053492755,180.2279073579,180.3659973145,7365700,0.0,0.0,0.0,-0.008458638416946052,0.02459822943961454
2023-12-07 05:00:00+00:00,181.2240860704,182.8614487958,180.8394059169,182.5556793213,6964400,0.0,0.0,0.0,0.012140215114836206,0.03703707235129183
2023-12-08 05:00:00+00:00,182.1611151574,184.2620685911,181.9342563754,184.1141204834,6404400,0.0,0.0,0.0,0.008536799117364824,0.045890049515215026
2023-12-11 05:00:00+00:00,183.5716337026,185.7613561762,183.1474906754,185.7218933105,18897700,0.0,0.0,0.0,0.008732479740710453,0.05502326318361739
2023-12-12 05:00:00+00:00,185.041336731,187.0140588068,184.8835153528,186.954864502,7527700,0.0,0.0,0.0,0.006638803694719142,0.06202735552125538
2023-12-13 05:00:00+00:00,187.3987045908,189.0557836058,186.9548301647,188.60206604,14697500,0.0,0.0,0.0,0.008810690978208857,0.07138455036115743
2023-12-14 05:00:00+00:00,188.7500430369,189.4602241665,186.7477313953,188.1385040283,7713700,0.0,0.0,0.0,-0.0024578840594551288,0.06875121135327822
2023-12-15 05:00:00+00:00,187.9412210536,190.1704065784,187.9412210536,189.0854034424,9065600,0.0,0.0,0.0,0.005032991088084637,0.07413022667539892
2023-12-18 05:00:00+00:00,189.0478401552,190.0759121008,188.2471124349,189.6508483887,5069000,0.422,0.0,0.0,0.0029904209209477006,0.07734232817707132
2023-12-19 05:00:00+00:00,189.6113044862,190.3922572659,189.5025647986,190.3724822998,4501800,0.0,0.0,0.0,0.0038050655572126058,0.08144168636334514
2023-12-20 05:00:00+00:00,190.1550016255,190.827199629,187.4661794436,187.4958343506,6867400,0.0,0.0,0.0,-0.015110628986125363,0.06510042227057888
2023-12-21 05:00:00+00:00,189.4037055181,190.0264736049,188.0098646523,189.6014099121,5668000,0.0,0.0,0.0,0.011229985822313049,0.07706148491201703
2023-12-22 05:00:00+00:00,190.1451206707,190.4021348912,188.9094492733,189.8485565186,5107500,0.0,0.0,0.0,0.0013035061638759782,0.07846544119647336
