Date,Close,High,Low,Open,Volume,Daily_Return,Cumulative_Return
,GOOG,GOOG,GOOG,GOOG,GOOG,,
2023-11-01 00:00:00,126.70294189453125,126.87178463321261,124.07592255785823,124.48809525006872,26536600,0.0,0.0
2023-11-02 00:00:00,127.7060775756836,129.20580904934013,127.23927082893425,128.67941253152986,24091700,0.007917224858025484,0.007917224858025484
2023-11-03 00:00:00,129.48390197753906,129.8414557513251,128.1331449604673,128.21260303853958,19529400,0.013921220004598833,0.021948662291698673
2023-11-06 00:00:00,130.5565643310547,130.665817294883,129.04689114590306,129.33492857557724,15360400,0.008284136770157602,0.030414624782202804
2023-11-07 00:00:00,131.50010681152344,132.37413053825398,130.2486761478604,131.0829632569691,19223800,0.007227078050830116,0.03786151170022056
2023-11-08 00:00:00,132.35426330566406,132.63235901096158,131.26174879344643,131.46038641793334,15093600,0.00649548137147038,0.04460292181563541
2023-11-09 00:00:00,130.79493713378906,133.04951273258644,130.6161526699025,132.45358472640288,17976500,-0.011781457830896125,0.032295976542233706
2023-11-10 00:00:00,133.14881896972656,133.35739831059152,129.9804983273355,130.63601607853604,20872900,0.01799673509938482,0.050873933776224955
2023-11-13 00:00:00,132.73167419433594,133.19848090776173,131.8675922654779,132.45357851251777,16409900,-0.00313292133282439,0.04758162841098823
2023-11-14 00:00:00,134.50950622558594,136.30721680296887,134.18176249600617,134.7280121486915,22317300,0.013394180718665716,0.06161312605947922
2023-11-15 00:00:00,135.45306396484375,135.90992897259557,134.41019752225017,135.711291353787,15840900,0.007014803382560775,0.06906013340713213
2023-11-16 00:00:00,137.75730895996094,137.93609345313652,135.1551208938237,136.0291447380572,17615100,0.017011390718450148,0.0872463330380393
2023-11-17 00:00:00,136.00926208496094,137.0620551562761,134.55917860130444,136.88328583703222,25565300,-0.012689322172430573,0.07344991403732593
2023-11-20 00:00:00,136.9825897216797,137.4841622099929,134.56911311094566,134.57903968756656,19569400,0.007156333486396882,0.08113187960312107
2023-11-21 00:00:00,137.67784118652344,138.0204975488539,136.76906680496015,137.00247019444495,17648100,0.005075473213467241,0.08661913549827216
2023-11-22 00:00:00,139.06832885742188,140.14099022883187,138.05525725857697,138.15458364957178,17306400,0.010099574912818543,0.09759352685893918
2023-11-24 00:00:00,137.2805633544922,138.72766131128793,136.53566086855264,138.59158384910427,8828600,-0.012855302983920791,0.08348362951797728
2023-11-27 00:00:00,137.11170959472656,138.68097252431508,136.6051662457298,136.63497628544607,17886400,-0.001229990288789895,0.08215095517560744
2023-11-28 00:00:00,137.67784118652344,137.71757780669284,136.108578101595,136.6945795859927,17046900,0.004128980620767164,0.08661913549827216
