period,theoretical_leverage,actual_leverage,tracking_error,volatility_decay_pct
2024-Q1,3.0,2.912,0.088,2.9
2024-Q2,3.0,3.04,0.04,-1.3
2024-Q3,3.0,2.93,0.07,2.3
2024-Q4,3.0,2.845,0.155,5.2
2025-Q1,3.0,2.667,0.333,11.1
